days,miles,receipts,output
5,659.0,2083.15,1645.06
12,353.0,2150.17,1765.67
13,618.0,1982.27,2000.39
2,1158.0,2355.92,1528.91
3,512.0,1251.6,1360.76
5,840.0,941.55,1676.48
7,1086.0,2319.81,1858.36
13,1152.0,864.45,1797.14
4,840.0,1375.42,1580.95
4,724.0,89.99,667.98
3,327.0,2141.92,1438.41
13,1055.0,2005.84,1997.52
1,931.0,327.97,609.73
10,108.0,2181.67,1632.42
13,1204.0,24.47,1344.17
5,517.0,919.25,1288.31
8,897.0,1536.36,1944.62
12,988.0,2492.79,1753.84
1,1041.0,1630.25,1466.95
10,454.0,2359.42,1619.0
5,406.0,1084.16,1399.39
4,103.0,1790.07,1394.55
11,198.0,269.95,695.66
4,477.0,18.97,631.5
11,67.0,2455.53,1572.91
7,789.0,185.73,966.26
13,70.0,993.7,1492.02
12,59.0,858.62,1377.35
3,1027.0,180.0,804.96
3,275.0,543.74,572.73
12,180.0,384.42,873.97
3,334.0,2449.89,1472.53
7,759.0,1694.02,1960.92
10,174.0,1991.96,1542.4
1,780.0,366.37,516.69
9,934.0,415.5,1208.82
8,936.0,556.28,1277.26
1,1002.0,2320.13,1475.4
7,83.0,137.84,482.65
9,191.0,789.52,1058.5
3,280.0,1090.37,1256.92
5,644.0,2383.17,1785.53
10,498.0,992.86,1395.03
4,317.0,1793.28,1518.93
4,1100.0,370.61,860.32
4,263.0,2469.06,1503.98
4,932.0,1287.34,1513.28
14,343.0,2013.4,1839.05
2,274.0,888.24,917.79
1,759.0,330.29,500.92
8,204.0,2178.45,1506.38
10,396.0,2068.65,1556.68
6,840.0,870.82,1496.46
7,756.0,1473.59,1961.96
4,1048.0,279.75,780.15
9,800.0,39.96,1158.68
3,240.0,1895.67,1386.33
13,997.0,920.48,2124.16
2,826.0,2163.39,1523.26
6,194.0,914.25,1168.72
4,333.0,1934.76,1467.52
8,1053.0,1864.01,1794.57
12,466.0,1291.33,1770.37
8,916.0,2417.62,1755.05
11,322.0,1251.3,1732.46
13,11.0,1114.96,1555.48
7,250.0,364.79,718.71
5,247.0,296.51,594.93
14,1158.0,2104.61,1899.69
11,1095.0,1071.83,2159.33
11,1149.0,270.81,1284.51
9,14.0,1057.38,1372.31
4,184.0,983.77,1202.69
6,135.0,2488.22,1561.2
5,717.0,1508.97,1722.49
1,389.0,1964.96,1228.94
3,1136.0,1296.54,1536.6
13,145.0,2202.42,1716.13
1,1122.0,861.5,1081.05
14,383.0,97.95,1203.93
1,309.0,1211.37,1110.55
14,1090.0,2248.68,1905.5
3,278.0,994.9,1167.78
7,1109.0,2397.29,1917.57
12,643.0,2194.16,1758.03
11,176.0,1050.67,1444.13
7,309.0,1021.75,1309.85
3,992.0,1897.41,1539.0
3,175.0,440.19,431.17
5,895.0,2329.69,1791.96
8,372.0,348.37,950.24
5,567.0,193.11,718.3
8,978.0,710.43,1624.58
1,1082.0,1809.49,446.94
11,636.0,2238.97,1699.94
6,370.0,315.09,946.39
8,413.0,222.83,802.95
3,399.0,141.39,546.04
